generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
29,6,0.8036285712763115,9.0,4.0,85.35764513015747,23.978013324737546,0.08062461671233177
29,7,0.815358415532995,10.0,4.0,88.74775705337524,23.28911595344543,0.08061554116010666
30,0,0.8160412715099475,10.0,4.0,90.18926200866699,23.845571804046628,0.08022659701108932
30,1,0.8168714204982473,10.0,4.0,89.40496978759765,25.11262350082397,0.0816288588643074
30,2,0.8161463868618011,10.0,4.0,90.0312834739685,25.458508062362668,0.07855944913625718
30,3,0.8163069028986825,10.0,4.0,90.98928270339965,24.98578004837036,0.08044221532344818
30,4,0.8167669107516606,10.0,4.0,89.30728015899658,24.676060009002683,0.07933286261558532
30,5,0.8139295213090049,10.0,4.0,95.639803981781,24.38391976356506,0.08449220415949821
30,6,0.8163465229007931,10.0,4.0,86.67475280761718,24.41838316917419,0.07639952284097672
30,7,0.8055905609660678,11.0,4.0,95.8980899810791,24.798005151748654,0.08263160642981529
31,0,0.8161731879799454,10.0,4.0,90.38479146957397,25.090228843688962,0.07766281050443649
31,1,0.804625172835809,9.0,4.0,89.73953781127929,24.85283427238464,0.08327695560455323
31,2,0.8157309715836135,10.0,4.0,89.96568737030029,23.50041441917419,0.07931403946876525
31,3,0.8065228769514294,11.0,4.0,89.86945686340331,23.947755622863767,0.07801672798395157
31,4,0.8175296483657979,10.0,4.0,87.07494554519653,25.95522217750549,0.07767059785127639
31,5,0.8153740223911073,10.0,4.0,86.87999544143676,23.39774303436279,0.0798926083445549
31,6,0.8164781433785403,10.0,4.0,86.88543853759765,25.021675157546994,0.08108374980092048
31,7,0.816852898730172,10.0,4.0,89.29048595428466,24.176306056976316,0.08096333947777748
32,0,0.8159137891398535,10.0,4.0,87.46143398284912,25.496981668472287,0.07825382632017136
32,1,0.8154756015759927,10.0,4.0,86.12457809448242,24.807450103759763,0.07890376430749893
32,2,0.8169911314602252,10.0,4.0,88.83760032653808,24.86941986083984,0.0812915017902851
32,3,0.8159708931490227,10.0,4.0,88.42077074050903,24.630623388290402,0.08077273797988892
32,4,0.8157079150720877,10.0,4.0,88.36672601699829,24.930812644958493,0.07691533249616622
32,5,0.8158929503405536,10.0,4.0,85.66318807601928,24.747525978088376,0.07749086451530457
32,6,0.8163541055608677,10.0,4.0,86.59638223648071,25.692321586608884,0.07797174882888794
32,7,0.8166691644765712,10.0,4.0,88.23165712356567,24.955218362808225,0.07927696985006333
33,0,0.8161986233569957,10.0,4.0,87.636714553833,24.98422436714172,0.08080228623747826
33,1,0.8153301596200024,10.0,4.0,87.42590007781982,24.772584962844846,0.08013553676009177
33,2,0.8157270960013072,10.0,4.0,86.4701467514038,25.266304540634152,0.07914119493961334
33,3,0.8102290076017379,10.0,5.0,91.15295467376708,25.291355180740354,0.08171098363399505
33,4,0.8161339828482381,10.0,4.0,89.3231159210205,25.18770031929016,0.08274592292308808
33,5,0.8166603155710078,10.0,4.0,89.01740131378173,25.478194284439084,0.081227145165205
33,6,0.8169827112003608,10.0,4.0,88.95520267486572,24.83683757781982,0.08155699056386947
33,7,0.8060902196610416,10.0,5.0,87.60525045394897,24.256485033035275,0.07971701008081436
34,0,0.8160485318634244,10.0,4.0,89.76114568710327,25.306482839584348,0.08260453996062278
34,1,0.8165673019709411,10.0,4.0,89.73013935089111,25.42961173057556,0.07973272186517716
34,2,0.8162047223470829,10.0,4.0,88.06735572814941,24.63322691917419,0.08135205489397049
34,3,0.8162429570710218,10.0,4.0,87.18185482025146,25.071780014038083,0.08082818445563317
34,4,0.8170329016226309,10.0,4.0,87.97329959869384,25.169631767272946,0.07937608939409256
34,5,0.8039340676863986,9.0,4.0,86.75996122360229,25.10668807029724,0.08124997597932815
34,6,0.804566082932331,9.0,4.0,87.90612993240356,25.187846946716306,0.08108310830593109
34,7,0.8167526492366083,10.0,4.0,89.54705533981323,24.639162349700925,0.08158746045827865
35,0,0.8167090710666445,10.0,4.0,89.64340028762817,24.7938530921936,0.08052812126278877
35,1,0.8167594761760145,10.0,4.0,88.51416883468627,25.278378057479856,0.0799231184720993
35,2,0.816623137725724,10.0,4.0,89.55010948181152,25.30453734397888,0.0808350710272789
35,3,0.8159626185894012,10.0,4.0,88.16071805953979,24.856477308273313,0.08012376409769058
35,4,0.8157896181389136,10.0,4.0,87.27475223541259,25.340045022964475,0.07882639449834823
35,5,0.8166969166861641,10.0,4.0,89.8733335494995,24.696399497985837,0.08074211013317108
35,6,0.815221769677268,10.0,4.0,88.55028924942016,24.52593259811401,0.07964048889279365
35,7,0.8169903433543664,10.0,4.0,88.76036701202392,24.922333288192746,0.08111250308156014
36,0,0.8166410268456848,10.0,4.0,89.4446021080017,25.2710156917572,0.08017974478006362
36,1,0.8169617778283579,10.0,4.0,88.43499717712402,25.247782993316648,0.08001560774445533
36,2,0.8170381622844273,10.0,4.0,88.00339040756225,25.164354372024533,0.08045612183213234
36,3,0.8168950929244359,10.0,4.0,89.43869409561157,24.989811706542966,0.08250075858831406
36,4,0.8160753723647859,10.0,4.0,86.89500865936279,25.10713391304016,0.07951795440912246
36,5,0.816768676439921,10.0,4.0,90.55065927505493,24.835572767257688,0.08133966234326362
36,6,0.8169918340223807,10.0,4.0,88.45842895507812,25.10677032470703,0.08077370208501816
36,7,0.8166279044416216,10.0,4.0,90.09426889419555,24.894456195831296,0.07977238875627518
37,0,0.8169835142073808,10.0,4.0,88.34471759796142,25.204250144958493,0.0801942830979824
37,1,0.816571415066719,10.0,4.0,88.22104272842407,25.48697643280029,0.08019961473345756
37,2,0.8169164771945386,10.0,4.0,88.85219869613647,25.246682691574094,0.08135351967811584
37,3,0.8160147583043132,10.0,4.0,87.88747606277465,24.79438118934631,0.08097721841931343
