plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,ca3_inputs_per_unit,9.0,9.0,42002,0.6072199726104737,0.7016599178314209,0.12,1.0,0.5416666666666666,0.8092561364173889,8.677082951180637e-05,0.6527142585648431
base,ca3_inputs_per_unit,9.0,9.0,42003,0.6214383427302043,0.7443150281906128,0.12,1.0,0.5283333333333334,0.8187195857365926,0.0001881804346339777,0.6561637539333768
base,k_ca3,0.1,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,k_ca3,0.1,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,k_ca3,0.1,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,k_ca3,0.3,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,k_ca3,0.3,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,k_ca3,0.3,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,k_ca3,0.5,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,k_ca3,0.5,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,k_ca3,0.5,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,k_ca3,0.7,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,k_ca3,0.7,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,k_ca3,0.7,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,k_ca3,1.0,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,k_ca3,1.0,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,k_ca3,1.0,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,k_ca3,1.5,2.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5316666666666667,0.931381161014239,0.00011946443555643782,0.7235807849963506
base,k_ca3,1.5,2.0,42002,0.7033849787712096,0.8501549363136292,0.26,1.0,0.5283333333333333,0.939967746535937,8.677082951180637e-05,0.7238953528801599
base,k_ca3,1.5,2.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5266666666666667,0.9374676545461019,0.0001881804346339777,0.7182648788558113
base,k_ca3,2.0,2.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5316666666666667,0.931381161014239,0.00011946443555643782,0.7235807849963506
base,k_ca3,2.0,2.0,42002,0.7033849787712096,0.8501549363136292,0.26,1.0,0.5283333333333333,0.939967746535937,8.677082951180637e-05,0.7238953528801599
base,k_ca3,2.0,2.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5266666666666667,0.9374676545461019,0.0001881804346339777,0.7182648788558113
base,k_ca3,3.0,3.0,42001,0.7077319590250651,0.8831958770751953,0.24,1.0,0.5216666666666666,0.9314594318469366,0.00011946443555643782,0.720286019179556
base,k_ca3,3.0,3.0,42002,0.7034739883740743,0.8504219651222229,0.26,1.0,0.5300000000000001,0.9400012642145157,8.677082951180637e-05,0.7244917508628633
base,k_ca3,3.0,3.0,42003,0.6906991775830585,0.892097532749176,0.18,1.0,0.5216666666666666,0.9375089555978775,0.0001881804346339777,0.7166249332825342
base,k_ca3,9.0,9.0,42001,0.6007979504267374,0.7423938512802124,0.06,1.0,0.5183333333333334,0.7384554098049799,0.00011946443555643782,0.6191955645216836
base,k_ca3,9.0,9.0,42002,0.5787725774447123,0.696317732334137,0.04,1.0,0.52,0.7023720517754555,8.677082951180637e-05,0.6003815430733892
base,k_ca3,9.0,9.0,42003,0.6129932856559753,0.758979856967926,0.08,1.0,0.5300000000000001,0.7537206013997396,0.0001881804346339777,0.632237962351905
base,beta_ca3,0.1,26.09558969497681,42001,0.34440405448277794,0.49321216344833374,0.04,0.5,0.27,0.4579099218050639,0.00011946443555643782,0.3574379920959473
base,beta_ca3,0.1,26.09558969497681,42002,0.5287206427256267,0.5061619281768799,0.08,1.0,0.5216666666666666,0.7135718340675036,8.677082951180637e-05,0.5879863811532655
base,beta_ca3,0.1,26.09558969497681,42003,0.5054427214463552,0.47632816433906555,0.04,1.0,0.52,0.42771432797114056,0.0001881804346339777,0.48438568313916525
base,beta_ca3,0.3,78.28676908493043,42001,0.5807587162653606,0.6622761487960815,0.08,1.0,0.52,0.8222294499476751,0.00011946443555643782,0.6409960554043452
