root_seed,condition,memory_index,cosine,mse,topk,identity
51003,aligned,14,0.7300038774059393,0.07344470173120499,0.8,0.0
51003,aligned,15,0.6920978739688435,0.10589850693941116,0.6,1.0
51003,aligned,16,0.7857524598468856,0.03830651193857193,0.6,1.0
51003,aligned,17,0.7419575488613019,0.06667377799749374,0.6,1.0
51003,aligned,18,0.9201002085174476,0.015342077240347862,0.8,1.0
51003,aligned,19,0.6402735370115727,0.0680721178650856,0.6,1.0
51003,aligned,20,0.6343732068677779,0.05982942879199982,0.6,1.0
51003,aligned,21,0.9009455430913268,0.02286747470498085,1.0,1.0
51003,aligned,22,0.7599331713835893,0.047692861407995224,0.8,1.0
51003,aligned,23,0.9640183364083935,0.007584437727928162,1.0,1.0
51003,aligned,24,0.7424850254628638,0.08111672103404999,0.8,1.0
51003,aligned,25,0.7085061281604195,0.09917055070400238,1.0,1.0
51003,aligned,26,0.9754147977879725,0.005030689295381308,1.0,1.0
51003,aligned,27,0.8635142433899421,0.025979943573474884,0.8,1.0
51003,fixed_permutation,0,0.04999310126330751,0.3169562518596649,0.0,0.0
51003,fixed_permutation,1,0.0009400109144707603,0.20279905200004578,0.0,0.0
51003,fixed_permutation,2,6.43220991364579e-05,0.151401087641716,0.0,0.0
51003,fixed_permutation,3,0.16684770354733564,0.20069915056228638,0.2,0.0
51003,fixed_permutation,4,0.035090773470923306,0.18098069727420807,0.0,0.0
51003,fixed_permutation,5,0.3475352420844888,0.13623517751693726,0.4,0.0
51003,fixed_permutation,6,0.00044607606155592106,0.20974600315093994,0.0,0.0
51003,fixed_permutation,7,0.0015061359940615898,0.2514415979385376,0.0,0.0
51003,fixed_permutation,8,0.24423192144013803,0.2763446867465973,0.2,0.0
51003,fixed_permutation,9,0.2358322576553622,0.14730295538902283,0.2,0.0
51003,fixed_permutation,10,0.3007306174351304,0.16051259636878967,0.2,0.0
51003,fixed_permutation,11,0.03707987447601024,0.13771705329418182,0.0,0.0
51003,fixed_permutation,12,0.2870135807945866,0.20292778313159943,0.2,0.0
51003,fixed_permutation,13,0.02532192649162628,0.22140389680862427,0.0,0.0
51003,fixed_permutation,14,0.17232096092851884,0.293675035238266,0.0,0.0
51003,fixed_permutation,15,0.02345213424151897,0.3367805778980255,0.0,0.0
51003,fixed_permutation,16,0.011951851118990189,0.14610673487186432,0.0,0.0
51003,fixed_permutation,17,0.3053932187883869,0.21198028326034546,0.2,0.0
