generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
49,0,0.0011867036034042637,5.0,3.9122939109802246,25.332682095468044
49,1,0.0011857938661705703,5.0,3.912167549133301,25.33315759152174
49,2,0.0011854311063264806,5.0,3.912038803100586,25.33285215497017
49,3,0.0011878049990627915,5.0,3.9113306999206543,25.33271089196205
49,4,0.0011871823808178306,5.0,3.9117074012756348,25.332414209842682
49,5,0.001188024286724006,5.0,3.9116883277893066,25.33209979534149
49,6,0.0011856816806054364,5.0,3.9122581481933594,25.33298846334219
50,0,0.0011861011250099789,5.0,3.9119887351989746,25.332072973251343
50,1,0.0011862088867928833,5.0,3.9119577407836914,25.33242553472519
50,2,0.0011848455178551376,5.0,3.9119386672973633,25.33277701586485
50,3,0.0011868382183214028,5.0,3.912224769592285,25.332300327718258
50,4,0.0011869808658957481,5.0,3.912343978881836,25.33326931297779
50,5,0.0011851211020257324,5.0,3.912022113800049,25.333144143223763
50,6,0.001186407501033197,5.0,3.912081718444824,25.332302153110504
51,0,0.0011861837410833687,5.0,3.9118456840515137,25.332725308835506
51,1,0.0011883116482446592,5.0,3.9123082160949707,25.333756655454636
51,2,0.0011851851789591212,5.0,3.9119386672973633,25.332711338996887
51,3,0.0011838076752610505,5.0,3.912351131439209,25.333220027387142
51,4,0.0011864449770655483,5.0,3.9119791984558105,25.333397686481476
51,5,0.001187046921889608,5.0,3.911874294281006,25.332514755427837
51,6,0.0011860101561372478,5.0,3.912181854248047,25.333185717463493
52,0,0.0011827525061865647,5.0,3.912343978881836,25.332997776567936
52,1,0.0011857316130772233,5.0,3.9120960235595703,25.33333957195282
52,2,0.0011872832061878096,5.0,3.912045955657959,25.332565046846867
52,3,0.0011878512935557712,5.0,3.912358283996582,25.332724265754223
52,4,0.00118647949420847,5.0,3.9122438430786133,25.33300068229437
52,5,0.0011878965112070243,5.0,3.91268253326416,25.333252623677254
52,6,0.001184892966800059,5.0,3.9121317863464355,25.33321313560009
53,0,0.001183464900047208,5.0,3.912348747253418,25.333122611045837
53,1,0.0011882143929445494,5.0,3.912179470062256,25.333074145019054
53,2,0.0011855273235899706,5.0,3.9120912551879883,25.333174243569374
53,3,0.0011859876782788585,5.0,3.912224769592285,25.333574265241623
53,4,0.0011868574365507811,5.0,3.9124155044555664,25.333173014223576
