root_seed,key_mode,fraction,mask_index,dropped_lec_units,cue_accuracy,mec_cosine,output_cosine,key_cosine
51002,normal,0.0,0,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,1,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,2,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,3,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,4,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,5,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,6,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,7,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,8,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,9,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,10,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.0,11,0,1.0,0.8685988141046656,0.9319757934530345,1.0
51002,normal,0.25,0,6,1.0,0.8033949751420505,0.8934791829620197,0.828909857753668
51002,normal,0.25,1,6,1.0,0.8165229357098712,0.910434442534078,0.7763528916543113
51002,normal,0.25,2,6,1.0,0.8070169618655423,0.9024848490878088,0.8630601900707029
51002,normal,0.25,3,6,1.0,0.8055316991533865,0.878825283366758,0.8073076153694377
51002,normal,0.25,4,6,1.0,0.8094871327177136,0.883436094896448,0.8132213363611368
51002,normal,0.25,5,6,1.0,0.8315931051004037,0.8926491985591777,0.8540205929894824
51002,normal,0.25,6,6,1.0,0.8258732282660145,0.9124135170210944,0.8316323566070577
51002,normal,0.25,7,6,1.0,0.7926036555002708,0.87221349035093,0.7999720632040712
51002,normal,0.25,8,6,1.0,0.8168614002956616,0.8932418356461708,0.7923435715056368
51002,normal,0.25,9,6,1.0,0.8222866228622734,0.893288717254283,0.8224056395218029
51002,normal,0.25,10,6,1.0,0.7894690748399732,0.9014304435416033,0.7978558306682527
51002,normal,0.25,11,6,1.0,0.7863885322803515,0.8941240894708237,0.8323752137998395
51002,normal,0.5,0,12,1.0,0.7809749748206536,0.8551127097112753,0.7051998040978753
51002,normal,0.5,1,12,1.0,0.8086484335799411,0.9007824703433984,0.8181003221212785
51002,normal,0.5,2,12,1.0,0.8274060537895493,0.8703517424501444,0.7631859860466121
51002,normal,0.5,3,12,1.0,0.7897003118988019,0.8487054276802364,0.6807177493995309
51002,normal,0.5,4,12,1.0,0.7641156501750541,0.7724856049153515,0.6627918789360701
51002,normal,0.5,5,12,1.0,0.8108166762972401,0.8604364666246458,0.7698561890807283
51002,normal,0.5,6,12,1.0,0.7981029790495023,0.8751435589766423,0.7344819498326207
51002,normal,0.5,7,12,1.0,0.8072779542030074,0.8960921153955703,0.7435059063485505
51002,normal,0.5,8,12,1.0,0.7952037747956209,0.8828941285772766,0.7255491972065639
51002,normal,0.5,9,12,1.0,0.7841281602219761,0.8267426772662273,0.6731886420344986
51002,normal,0.5,10,12,1.0,0.7865503211838952,0.8594998857168156,0.7509181638796153
51002,normal,0.5,11,12,1.0,0.771543034587019,0.8332438928599676,0.6927852944400956
51002,normal,0.75,0,19,0.0,0.740286361504628,0.6898543990603789,0.619806611102121
51002,normal,0.75,1,19,0.0,0.7612079960367478,0.7015526028267697,0.5948104109369559
51002,normal,0.75,2,19,0.5,0.7438857402688199,0.7458786981452183,0.6393311592998502
