repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
3,73203,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.832772340297699,0.9255391731262207,0.5855875795558095,0.01717514917254448,0.09294077008962631
4,73204,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8403320777416229,0.9212217183113098,0.6534357372522354,0.018441129475831985,0.08792886883020401
5,73205,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8255099041461944,0.9201122620105744,0.5979270154684782,0.017198825255036354,0.08859406411647797
6,73206,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8338636815547943,0.9273111457824708,0.6679633751139045,0.016852719709277153,0.07813815772533417
7,73207,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8348611834049224,0.9169955945014954,0.6196517150402069,0.019229719415307045,0.08962361514568329
8,73208,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8330378119945526,0.9183105063438416,0.6982071242332458,0.01808999851346016,0.07261022180318832
9,73209,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8322988021373748,0.9177957620620728,0.5246047507077456,0.018919099122285843,0.10094591975212097
10,73210,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8328869533538819,0.9256440720558167,0.6229090518504381,0.016495730727910995,0.09177038818597794
11,73211,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8350050375461578,0.9176417956352234,0.6906088090986013,0.018567819148302078,0.07314316928386688
0,73200,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8351650767326355,0.9263617913722992,0.5807410418987274,0.017345985397696495,0.09307047724723816
1,73201,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8293117349147796,0.9208288474082946,0.5869347334131598,0.017014333978295326,0.09185536950826645
2,73202,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8357473161220551,0.9196192457675934,0.6659575852155686,0.01810014434158802,0.07920355349779129
3,73203,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.832772340297699,0.9255391731262207,0.5855875795558095,0.01717514917254448,0.09294077008962631
4,73204,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8403320777416229,0.9212217183113098,0.6534357372522354,0.018441129475831985,0.08792886883020401
5,73205,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8255099041461944,0.9201122620105744,0.5979270154684782,0.017198825255036354,0.08859406411647797
6,73206,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8338636815547943,0.9273111457824708,0.6679633751139045,0.016852719709277153,0.07813815772533417
7,73207,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8348611834049224,0.9169955945014954,0.6196517150402069,0.019229719415307045,0.08962361514568329
8,73208,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8330378119945526,0.9183105063438416,0.6982071242332458,0.01808999851346016,0.07261022180318832
9,73209,50,5,0,base,0.05,0.03,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8322988021373748,0.9177957620620728,0.5246047507077456,0.018919099122285843,0.10094591975212097
